sub,ses,task,run,median_value,filename
0005,02,alignvideo,1,53.51487731933594,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0005/sub-0005_ses-02_task-alignvideo_acq-mb8_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0005,03,shortvideo,1,49.015689849853516,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0005/sub-0005_ses-03_task-shortvideo_acq-mb8_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0005,02,narratives,3,52.820133209228516,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0005/sub-0005_ses-02_task-narratives_acq-mb8_run-3_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0005,02,narratives,2,48.60798263549805,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0005/sub-0005_ses-02_task-narratives_acq-mb8_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0005,01,alignvideo,1,53.692626953125,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0005/sub-0005_ses-01_task-alignvideo_acq-mb8_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0005,04,alignvideo,1,56.0235595703125,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0005/sub-0005_ses-04_task-alignvideo_acq-mb8_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0005,02,faces,3,57.50885772705078,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0005/sub-0005_ses-02_task-faces_acq-mb8_run-3_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,02,alignvideo,3,66.95087432861328,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-02_task-alignvideo_acq-mb8_run-3_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,03,social,5,65.44740295410156,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-03_task-social_acq-mb8_run-5_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,03,social,2,57.73918914794922,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-03_task-social_acq-mb8_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,03,alignvideo,1,53.151268005371094,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-03_task-alignvideo_acq-mb8_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,02,alignvideo,2,64.18303680419922,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-02_task-alignvideo_acq-mb8_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,02,faces,1,61.749385833740234,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-02_task-faces_acq-mb8_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,01,social,3,60.4803352355957,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-01_task-social_acq-mb8_run-3_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
