sub,task,fd_mean
1046964,rest,0.0829486
1046964,faces,0.16171
1046988,rest,0.373712
1046988,faces,0.346849
1047037,rest,0.0608128
1047037,faces,0.0929978
1047051,rest,0.205704
1047051,faces,NA
1047092,rest,0.060185
1047092,faces,0.0944484
1047206,rest,0.159858
1047206,faces,0.200622
1047342,rest,0.0891209
1047342,faces,0.0797191
1047393,rest,0.172671
1047393,faces,0.194023
1047417,rest,0.147062
1047417,faces,NA
1047597,rest,0.106043
1047597,faces,0.166637
1047671,rest,0.103734
1047671,faces,0.116595
1047704,rest,0.0797083
1047704,faces,0.0906508
1047750,rest,0.0884189
1047750,faces,0.0943827
1047974,rest,0.091484
1047974,faces,0.105941
1048010,rest,0.133718
1048010,faces,0.102177
1048105,rest,0.0870444
1048105,faces,NA
1048260,rest,NA
1048260,faces,NA
1048321,rest,0.0886868
1048321,faces,0.0929591
1048333,rest,0.274373
1048333,faces,0.339467
1048430,rest,NA
1048430,faces,NA
1048477,rest,0.122759
1048477,faces,0.149569
1048669,rest,0.229457
1048669,faces,0.155846
1048722,rest,0.0551793
1048722,faces,0.10116700000000001
1048880,rest,0.0833521
1048880,faces,0.210623
1049064,rest,0.0865389
1049064,faces,NA
1049088,rest,0.0967945
1049088,faces,0.127547
1049231,rest,0.0623725
1049231,faces,NA
1049346,rest,0.0928593
1049346,faces,0.0968602
1049444,rest,0.0938135
1049444,faces,0.150276
1049461,rest,0.119819
1049461,faces,0.125762
1049558,rest,0.0976821
1049558,faces,0.121838
1049727,rest,0.0865467
1049727,faces,0.123701
1049795,rest,0.117866
1049795,faces,0.106255
1049894,rest,0.119454
1049894,faces,0.103129
1050101,rest,0.144497
1050101,faces,0.191272
1050218,rest,0.138236
1050218,faces,0.168919
1050243,rest,0.0837146
1050243,faces,0.122424
1050422,rest,0.13541
1050422,faces,0.157709
1050509,rest,0.069739399999999993
1050509,faces,0.140018
1050538,rest,0.0988771
1050538,faces,0.105838
1050621,rest,0.0888286
1050621,faces,0.117942
1050796,rest,0.0973401
1050796,faces,0.14882
1051298,rest,0.141345
1051298,faces,0.127384
1051806,rest,0.199286
1051806,faces,0.147573
1051857,rest,NA
1051857,faces,NA
1051919,rest,0.154395
1051919,faces,0.154845
1052000,rest,0.0800012
1052000,faces,0.102022
1052032,rest,0.183508
1052032,faces,0.210671
1052159,rest,0.084429
1052159,faces,0.113846
1052331,rest,0.158392
1052331,faces,0.177214
1052674,rest,0.0973666
1052674,faces,0.142418
1052760,rest,0.0810808
1052760,faces,0.116149
1052940,rest,NA
1052940,faces,NA
1053049,rest,0.079279
1053049,faces,0.104562
1053103,rest,0.201506
1053103,faces,0.150568
1053271,rest,NA
1053271,faces,NA
1053328,rest,0.154343
1053328,faces,NA
1053372,rest,0.0491179
1053372,faces,0.0608249
1053432,rest,0.233781
1053432,faces,0.115068
1053448,rest,0.0676453
1053448,faces,0.159615
1053623,rest,0.120335
1053623,faces,0.141967
1053664,rest,0.173389
1053664,faces,NA
1053696,rest,0.180618
1053696,faces,0.213601
1053705,rest,0.143477
1053705,faces,0.164975
1053909,rest,0.105919
1053909,faces,0.122945
1053980,rest,0.0705
1053980,faces,0.0949632
1054200,rest,0.0908108
1054200,faces,0.15004
1054213,rest,NA
1054213,faces,NA
1054248,rest,NA
1054248,faces,NA
1054276,rest,0.0772489
1054276,faces,NA
1054297,rest,0.237302
1054297,faces,0.198659
1054343,rest,0.153485
1054343,faces,0.119449
1054440,rest,0.162396
1054440,faces,0.137001
1054453,rest,0.0773572
1054453,faces,0.0968558
1054462,rest,0.169216
1054462,faces,0.150712
1054594,rest,0.103646
1054594,faces,0.130102
1054646,rest,0.057213
1054646,faces,0.0489348
1054675,rest,0.110301
1054675,faces,0.153958
1054756,rest,0.272704
1054756,faces,0.190506
1054867,rest,0.11679
1054867,faces,0.114071
1054915,rest,0.161454
1054915,faces,0.156168
1055056,rest,0.0610883
1055056,faces,0.0958707
1055120,rest,0.101121
1055120,faces,0.0924007
1055201,rest,0.118585
1055201,faces,0.155666
1055293,rest,0.0926822
1055293,faces,0.105419
1055514,rest,0.17554
1055514,faces,0.212098
1055838,rest,0.0858756
1055838,faces,0.128192
1055852,rest,0.185318
1055852,faces,0.19189
1055950,rest,0.0769988
1055950,faces,0.137848
1055965,rest,0.0986103
1055965,faces,0.106871
1056022,rest,0.0773172
1056022,faces,0.125526
1056090,rest,0.0887055
1056090,faces,0.125682
1056371,rest,0.0716421
1056371,faces,0.110572
1056395,rest,0.137829
1056395,faces,0.171014
1056431,rest,0.349048
1056431,faces,0.227272
1056626,rest,0.0981389
1056626,faces,0.10437
1056717,rest,0.140288
1056717,faces,0.156499
1056876,rest,0.101154
1056876,faces,0.123787
1056979,rest,0.137916
1056979,faces,0.259978
1057053,rest,0.0600288
1057053,faces,NA
1057062,rest,0.0958432
1057062,faces,0.0976451
1057095,rest,0.0790259
1057095,faces,0.143432
1057152,rest,0.0925025
1057152,faces,0.093236
1057311,rest,0.146374
1057311,faces,0.254945
1057367,rest,0.0628138
1057367,faces,0.0825723
1057434,rest,0.101672
1057434,faces,0.141326
1057650,rest,NA
1057650,faces,NA
1057721,rest,0.0933913
1057721,faces,0.138285
1057770,rest,0.0753501
1057770,faces,NA
1057981,rest,0.136317
1057981,faces,0.127718
1058171,rest,0.0972559
1058171,faces,0.108831
1058245,rest,0.152052
1058245,faces,NA
1058598,rest,0.0961016
1058598,faces,0.148298
1058635,rest,0.121972
1058635,faces,0.132
1058754,rest,0.114768
1058754,faces,0.127902
1058801,rest,0.0563486
1058801,faces,0.0895157
1058826,rest,0.0603424
1058826,faces,0.0763876
1058842,rest,0.113261
1058842,faces,0.199652
1058878,rest,NA
1058878,faces,NA
1058970,rest,0.134204
1058970,faces,0.186292
1059005,rest,0.100396
1059005,faces,0.12344
