"sub","ses","run","fd_mean","dvars_mean","globalsignal_mean","task","task_factor"
"sub-0122","ses-01","run-01",0.103938066004248,38.5005758748565,3855.14600892092,"social","social"
"sub-0122","ses-01","run-02",0.117603007199311,36.5627573340987,3847.24155795163,"social","social"
"sub-0122","ses-01","run-03",0.120216708445901,39.7631225304248,3854.76480194923,"social","social"
"sub-0122","ses-01","run-04",0.141719189495982,39.8537939816303,3872.86767165651,"social","social"
"sub-0122","ses-01","run-05",0.13174109275729,34.8924661125143,3845.85093022077,"social","social"
"sub-0122","ses-01","run-06",0.115694538853731,39.3097737887486,3853.33321899151,"social","social"
"sub-0122","ses-03","run-01",0.106866957164179,37.400968912744,3852.80246764202,"social","social"
"sub-0122","ses-03","run-02",0.129131641290471,39.1183514420207,3836.64574524947,"social","social"
"sub-0122","ses-03","run-03",0.113453838817451,37.6785633180253,3854.86519463522,"social","social"
"sub-0122","ses-03","run-04",0.135090366536395,39.3643446153846,3852.34760338231,"social","social"
"sub-0122","ses-03","run-05",0.12710289880023,37.1254473168771,3793.26288116148,"social","social"
"sub-0122","ses-03","run-06",0.15492734480023,39.2995201010333,3834.07344170712,"social","social"
"sub-0122","ses-04","run-01",0.115123649910677,32.4993763019518,4061.12643270911,"social","social"
"sub-0122","ses-04","run-02",0.100599709050172,36.7783459724455,4035.71906928901,"social","social"
"sub-0122","ses-04","run-03",0.127839062854879,35.6088139919633,4030.84779138307,"social","social"
"sub-0122","ses-04","run-04",0.184572029626406,36.1656992089552,4075.16349137686,"social","social"
"sub-0122","ses-04","run-05",0.193754346987371,36.7512269092997,4059.47128602396,"social","social"
"sub-0122","ses-04","run-06",0.154422050137773,36.1104446578645,4059.85142440552,"social","social"
"sub-0123","ses-01","run-01",0.108083073940298,34.9580145453502,3263.98247718155,"social","social"
"sub-0123","ses-01","run-02",0.132652386491504,35.6147087623421,3279.66409686709,"social","social"
"sub-0123","ses-01","run-03",0.110938533970149,33.1308222192882,3309.39656360373,"social","social"
"sub-0123","ses-01","run-04",0.118125543871068,33.5389574971297,3353.91833039533,"social","social"
"sub-0123","ses-01","run-05",0.195752248835821,33.3112649885189,3347.73943432064,"social","social"
"sub-0123","ses-01","run-06",0.153881776394948,31.2435292778416,3308.14812930597,"social","social"
"sub-0124","ses-01","run-01",0.0995194356064294,39.2567525740528,3195.50733707525,"social","social"
"sub-0124","ses-01","run-02",0.0994798357237657,37.927058053961,3189.73077754792,"social","social"
"sub-0124","ses-01","run-03",0.112740209250976,37.5651525097589,3225.96632491603,"social","social"
"sub-0124","ses-01","run-04",0.102338079822158,37.4267723145809,3210.76909614666,"social","social"
"sub-0124","ses-01","run-05",0.0884569527335246,39.2432895361653,3204.07293315315,"social","social"
"sub-0124","ses-01","run-06",0.0903593647536165,37.6510718254879,3224.26688107479,"social","social"
"sub-0124","ses-03","run-01",0.111795369738232,38.6039853719862,3736.73360287579,"social","social"
"sub-0124","ses-03","run-02",0.112090679443169,38.7392399414466,3738.59232140914,"social","social"
"sub-0124","ses-03","run-03",0.111252589750861,37.4526115614237,3730.99004341714,"social","social"
"sub-0124","ses-03","run-04",0.108065182882893,36.9654021986223,3715.81953157386,"social","social"
"sub-0124","ses-03","run-05",0.107017469507692,36.5765833811711,3763.04396332397,"social","social"
"sub-0124","ses-03","run-06",0.112736759027486,38.0557812560276,3760.02202455281,"social","social"
"sub-0124","ses-04","run-01",0.0846275415200918,34.7517984603904,3760.68429838471,"social","social"
"sub-0124","ses-04","run-02",0.0835998830655568,38.047493652124,3776.20155687947,"social","social"
"sub-0124","ses-04","run-03",0.0802670122017221,34.9229476613088,3760.96391958776,"social","social"
"sub-0124","ses-04","run-04",0.0749074481859931,35.292453141217,3765.39585153889,"social","social"
"sub-0124","ses-04","run-05",0.0806784844121699,34.9389715820896,3780.26867370383,"social","social"
"sub-0124","ses-04","run-06",0.0784355538557979,35.8919560309988,3775.4817409084,"social","social"
"sub-0126","ses-01","run-01",0.168455615220436,37.6071481882893,3135.75792649298,"social","social"
"sub-0126","ses-01","run-02",0.173735738679678,36.6438791607348,3093.02658817727,"social","social"
"sub-0126","ses-01","run-03",0.135365868204363,40.3113248840413,3107.84724548319,"social","social"
"sub-0126","ses-01","run-04",0.147767060234214,36.5508385005741,3116.31979964045,"social","social"
"sub-0126","ses-01","run-05",0.145470533017451,35.7053309311137,3100.82268071484,"social","social"
"sub-0126","ses-01","run-06",0.151383840140413,39.8283126647531,3122.38793089712,"social","social"
"sub-0126","ses-03","run-01",0.160397897827555,35.1897522319173,3243.87169349166,"social","social"
"sub-0126","ses-03","run-02",0.180000228079219,39.7201969724455,3261.89440287777,"social","social"
